shiken_kubun,shiken_day,day_kubun,que_no,ans_no,ans_attr,ans_contents
AP,2023/04/16,午前,1,ア,text,(n＋1) AND 255
AP,2023/04/16,午前,1,イ,text,(n＋1) AND 256
AP,2023/04/16,午前,1,ウ,text,(n＋1) OR 255
AP,2023/04/16,午前,1,エ,text,(n＋1) OR 256
AP,2023/04/16,午前,2,ア,picture,a_01.gif/image-size:191×139
AP,2023/04/16,午前,2,イ,picture,a_02.gif/image-size:188×139
AP,2023/04/16,午前,2,ウ,picture,a_03.gif/image-size:192×140
AP,2023/04/16,午前,2,エ,picture,a_04.gif/image-size:188×140
AP,2023/04/16,午前,3,ア,text,真陽性率と偽陽性率の関係を示す曲線である。
AP,2023/04/16,午前,3,イ,text,真陽性率と適合率の関係を示す曲線である。
AP,2023/04/16,午前,3,ウ,text,正解率と適合率の関係を示す曲線である。
AP,2023/04/16,午前,3,エ,text,適合率と偽陽性率の関係を示す曲線である。
AP,2023/04/16,午前,4,ア,text,血中酸素飽和度
AP,2023/04/16,午前,4,イ,text,血糖値
AP,2023/04/16,午前,4,ウ,text,血流量
AP,2023/04/16,午前,4,エ,text,体内水分量
AP,2023/04/16,午前,5,ア,text,空き領域のアドレスをキーとする2分探索木
AP,2023/04/16,午前,5,イ,text,空き領域の大きさが小さい順の片方向連結リスト
AP,2023/04/16,午前,5,ウ,text,空き領域の大きさをキーとする2分探索木
AP,2023/04/16,午前,5,エ,text,アドレスに対応したビットマップ
AP,2023/04/16,午前,6,ア,picture,a_01.png/image-size:190×120
AP,2023/04/16,午前,6,イ,picture,a_02.png/image-size:190×120
AP,2023/04/16,午前,6,ウ,picture,a_03.png/image-size:190×120
AP,2023/04/16,午前,6,エ,picture,a_04.png/image-size:220×120
